SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-24-2023,Condo/Co-op,1600 S Ocean Dr Unit 17C,Hollywood,FL,33019,378500,1,1.5,Allington Towers,900,,1971,,421,513,Sold,,,https://www.redfin.com/FL/Hollywood/1600-S-Ocean-Dr-33019/unit-17C/home/41963248,Beaches MLS,F10382081,N,Y,25.9999717,-80.1186725
PAST SALE,September-8-2023,Condo/Co-op,110 N Federal Hwy #616,Fort Lauderdale,FL,33301,527000,2,2.0,Waverly,1244,,2005,,424,1068,Sold,,,https://www.redfin.com/FL/Fort-Lauderdale/110-N-Federal-Hwy-33301/unit-616/home/42027061,Beaches MLS,F10392557,N,Y,26.1233048,-80.1369654
PAST SALE,September-15-2023,Condo/Co-op,1341 SE 3rd Ave #110,Dania Beach,FL,33004,340000,2,2.0,SHERIDAN EAST CONDO BLDG,1020,,1998,,333,553,Sold,,,https://www.redfin.com/FL/Dania/1341-SE-3rd-Ave-33004/unit-110/home/42028016,MARMLS,A11425465,N,Y,26.034706,-80.139638
PAST SALE,August-21-2023,Condo/Co-op,9450 Live Oak Pl #102,Davie,FL,33324,310000,2,2.0,LIVE OAK CONDO SEVEN,980,,1974,,316,568,Sold,,,https://www.redfin.com/FL/Davie/9450-Live-Oak-Pl-33324/unit-102/home/41767480,MARMLS,A11414137,N,Y,26.094318,-80.2786031
PAST SALE,October-17-2023,Condo/Co-op,5661 Riverside Dr Unit 306b7,Coral Springs,FL,33067,271000,2,2.0,Grand Oasis Condo,950,,1988,,285,607,Sold,,,https://www.redfin.com/FL/Coral-Springs/5661-Riverside-Dr-33067/unit-306B7/home/42022673,Beaches MLS,RX-10899415,N,Y,26.2984746,-80.2349632
PAST SALE,August-29-2023,Condo/Co-op,2401 Riverside Dr Unit 411-B,Coral Springs,FL,33065,140000,1,1.0,Tower Club,464,,1983,,302,200,Sold,,,https://www.redfin.com/FL/Coral-Springs/2401-Riverside-Dr-33065/unit-411-B/home/41430582,Beaches MLS,F10397536,N,Y,26.2602695,-80.2345275
PAST SALE,September-11-2023,Condo/Co-op,9676 W Mcnab Rd #110,Tamarac,FL,33321,190000,2,2.0,Tamarac Gardens,1170,,1988,,162,802,Sold,,,https://www.redfin.com/FL/Tamarac/9676-W-McNab-Rd-33321/unit-110/home/41556258,Beaches MLS,F10399738,N,Y,26.2068758,-80.2809884
PAST SALE,,Condo/Co-op,2200 S Ocean Ln #1608,Fort Lauderdale,FL,33316,1300000,2,2.0,,2005,,1971,,648,,,,,https://www.redfin.com/FL/Fort-Lauderdale/2200-S-Ocean-Ln-33316/unit-1608/home/41807847,,,N,Y,26.0959028,-80.1063464
PAST SALE,October-31-2023,Condo/Co-op,200 S Birch #1204,Fort Lauderdale,FL,33316,300000,1,1.0,Leisure Beach,,,1970,,,350,Sold,,,https://www.redfin.com/FL/Fort-Lauderdale/200-S-Birch-Rd-33316/unit-1204/home/41798368,Beaches MLS,F10396530,N,Y,26.1204536,-80.1066482
PAST SALE,,Condo/Co-op,4015 N University Dr #105,Sunrise,FL,33351,230000,3,2.0,,1580,,1975,,146,,,,,https://www.redfin.com/FL/Sunrise/4015-N-University-Dr-33351/unit-105/home/42055190,,,N,Y,26.1741148,-80.2565211
PAST SALE,,Condo/Co-op,340 Sunset Dr #1802,Fort Lauderdale,FL,33301,485000,2,2.0,,1228,,1971,,395,,,,,https://www.redfin.com/FL/Fort-Lauderdale/340-Sunset-Dr-33301/unit-1802/home/41802641,,,N,Y,26.1192869,-80.1133111
PAST SALE,,Condo/Co-op,2501 S Ocean Dr #408,Hollywood,FL,33019,442000,1,1.0,,745,,1968,,593,,,,,https://www.redfin.com/FL/Hollywood/2501-S-Ocean-Dr-33019/unit-408/home/42020944,,,N,Y,25.9972936,-80.1174716
PAST SALE,,Condo/Co-op,2072 Newport Q,Deerfield Beach,FL,33442,95000,1,2.0,,753,,1978,,126,,,,,https://www.redfin.com/FL/Deerfield-Beach/2072-Newport-Q-33442/home/41465405,,,N,Y,26.304624,-80.144956
PAST SALE,,Condo/Co-op,750 SW 138th Ave Unit 206F,Pembroke Pines,FL,33027,230000,2,2.0,,1030,,1994,,223,,,,,https://www.redfin.com/FL/Pembroke-Pines/750-SW-138th-Ave-33027/unit-206F/home/41848146,,,N,Y,26.0015672,-80.3301787
PAST SALE,,Condo/Co-op,12874 SW 31st St #142,Miramar,FL,33027,407000,3,3.0,,1747,,2002,,233,,,,,https://www.redfin.com/FL/Miramar/12874-SW-31st-St-33027/unit-142/home/42024777,,,N,Y,25.9804913,-80.3189893
PAST SALE,September-20-2023,Condo/Co-op,663 Vista Isles Dr #1725,Sunrise,FL,33325,225000,1,1.0,ISLES AT LAGO MAR CONDO,743,,1990,,303,286,Sold,,,https://www.redfin.com/FL/Plantation/663-Vista-Isles-Dr-33325/unit-1725/home/42059863,MARMLS,A11443584,N,Y,26.129062,-80.3169829
PAST SALE,August-22-2023,Condo/Co-op,3930 Inverrary Blvd Unit 103-D,Lauderhill,FL,33319,195000,2,2.0,18th Hole,1260,,1978,,155,573,Sold,,,https://www.redfin.com/FL/Lauderhill/3930-Inverrary-Blvd-33319/unit-103D/home/41583796,Beaches MLS,F10391641,N,Y,26.174291,-80.238377
PAST SALE,,Condo/Co-op,3730 Inverrary Dr Unit 2A,Lauderhill,FL,33319,115000,1,2.0,,800,,1973,,144,,,,,https://www.redfin.com/FL/Lauderhill/3730-Inverrary-Dr-33319/unit-2A/home/41589218,,,N,Y,26.1719027,-80.2252495
PAST SALE,,Condo/Co-op,2881 NE 33rd Ct Unit 10C,Fort Lauderdale,FL,33306,430000,2,2.0,,1250,,1970,,344,,,,,https://www.redfin.com/FL/Fort-Lauderdale/2881-NE-33rd-Ct-33306/unit-10C/home/41673253,,,N,Y,26.1697623,-80.1056483
PAST SALE,August-25-2023,Condo/Co-op,2930 NW 55th Ave Unit 1A,Lauderhill,FL,33313,118000,1,1.5,STONEBRIDGE GARDENS SECT,840,,1974,,140,287,Sold,,,https://www.redfin.com/FL/Lauderhill/2930-NW-55th-Ave-33313/unit-1A/home/41601716,MARMLS,A11442594,N,Y,26.1641345,-80.2205612
PAST SALE,,Condo/Co-op,3010 N Course Dr #908,Pompano Beach,FL,33069,90000,1,2.0,,1130,,1973,,80,,,,,https://www.redfin.com/FL/Pompano-Beach/3010-N-Course-Dr-33069/unit-908/home/41640995,,,N,Y,26.2247482,-80.1653162
PAST SALE,,Condo/Co-op,9250 W Atlantic Blvd #916,Coral Springs,FL,33071,290000,3,2.0,,1263,,1991,,230,,,,,https://www.redfin.com/FL/Coral-Springs/9250-W-Atlantic-Blvd-33071/unit-916/home/42022096,,,N,Y,26.2368412,-80.2476159
PAST SALE,October-30-2023,Condo/Co-op,6075 N Sabal Palm Blvd #313,Tamarac,FL,33319,115000,2,1.0,Gardens OF Sabal Palms,970,,1980,,119,356,Sold,,,https://www.redfin.com/FL/Tamarac/6075-N-Sabal-Palm-Blvd-33319/unit-313/home/41567010,Beaches MLS,RX-10932153,N,Y,26.1992695,-80.2176395
PAST SALE,August-24-2023,Condo/Co-op,1100 NE 9th Ave #207,Fort Lauderdale,FL,33304,137000,1,1.0,Southdale Condo,680,,1979,,201,379,Sold,,,https://www.redfin.com/FL/Fort-Lauderdale/1100-NE-9th-Ave-33304/unit-207/home/41691466,Beaches MLS,F10392038,N,Y,26.1392285,-80.1341571
PAST SALE,October-19-2023,Condo/Co-op,536 Woodgate Cir Unit D,Sunrise,FL,33326,445000,3,2.5,WOODGATE CONDOMINIUM 45,1400,,1990,,318,375,Sold,,,https://www.redfin.com/FL/Sunrise/536-Woodgate-Cir-33326/unit-D/home/41733813,MARMLS,A11449718,N,Y,26.1153284,-80.3542501
PAST SALE,,Condo/Co-op,941 Crystal Lake Dr #201,Deerfield Beach,FL,33064,235000,2,2.0,,996,,1966,,236,,,,,https://www.redfin.com/FL/Deerfield-Beach/941-Crystal-Lake-Dr-33064/unit-201/home/41482681,,,N,Y,26.2779309,-80.1366215
PAST SALE,,Condo/Co-op,1361 S Ocean Blvd #301,Pompano Beach,FL,33062,371640,2,2.0,,1460,,1981,,255,,,,,https://www.redfin.com/FL/Pompano-Beach/1361-S-Ocean-Blvd-33062/unit-301/home/41704155,,,N,Y,26.2193525,-80.0923298
PAST SALE,,Condo/Co-op,2304 S Cypress Bend Dr #212,Pompano Beach,FL,33069,174000,1,2.0,,2000,,1974,,87,,,,,https://www.redfin.com/FL/Pompano-Beach/2304-S-Cypress-Bend-Dr-33069/unit-212/home/41632674,,,N,Y,26.2142319,-80.1520339
PAST SALE,August-25-2023,Condo/Co-op,2922 NW 55th Ave Unit 1C,Lauderhill,FL,33313,147000,2,2.0,STONEBRIDGE GARDENS SECT,1070,,1974,,137,636,Sold,,,https://www.redfin.com/FL/Lauderhill/2922-NW-55th-Ave-33313/unit-1C/home/42084786,MARMLS,A11441472,N,Y,26.1634157,-80.2203981
PAST SALE,,Condo/Co-op,13250 SW 7th Ct Unit 406L,Pembroke Pines,FL,33027,,2,2.0,,953,,1985,,,,Sold,,,https://www.redfin.com/FL/Pembroke-Pines/13250-SW-7th-Ct-33027/unit-406L/home/41842958,MARMLS,,N,Y,26.0048882,-80.3239943
PAST SALE,,Condo/Co-op,2950 NW 46th Ave Unit 108A,Lauderdale Lakes,FL,33313,90000,2,2.0,,1021,,1972,,88,,,,,https://www.redfin.com/FL/Lauderdale-Lakes/2950-NW-46th-Ave-33313/unit-108A/home/41599308,,,N,Y,26.162047,-80.2089372
PAST SALE,,Condo/Co-op,3750 Inverrary Dr Unit 1O,Lauderhill,FL,33319,138000,1,2.0,,800,,1974,,173,,,,,https://www.redfin.com/FL/Lauderhill/3750-Inverrary-Dr-33319/unit-1O/home/41590166,,,N,Y,26.1720297,-80.2275572
PAST SALE,October-27-2023,Condo/Co-op,1330 NW 43rd Ave #102,Lauderhill,FL,33313,127000,2,2.0,Park South,930,,1969,,137,353,Sold,,,https://www.redfin.com/FL/Lauderhill/1330-NW-43rd-Ave-33313/unit-102/home/41628051,Beaches MLS,F10397859,N,Y,26.1438066,-80.2067408
PAST SALE,,Condo/Co-op,13250 SW 7th Ct Unit L218,Pembroke Pines,FL,33027,200000,2,2.0,,1166,,1985,,172,,,,,https://www.redfin.com/FL/Pembroke-Pines/13250-SW-7th-Ct-33027/unit-L218/home/41843603,,,N,Y,26.0048882,-80.3239943
PAST SALE,,Condo/Co-op,850 E Commercial Blvd Unit 145F,Oakland Park,FL,33334,180000,2,1.0,,830,,1973,,217,,,,,https://www.redfin.com/FL/Oakland-Park/850-E-Commercial-Blvd-33334/unit-145F/home/42037537,,,N,Y,26.1885614,-80.1363709
PAST SALE,,Condo/Co-op,1515 E Broward Blvd #216,Fort Lauderdale,FL,33301,275000,1,1.0,,660,,1966,,417,,,,,https://www.redfin.com/FL/Fort-Lauderdale/1515-E-Broward-Blvd-33301/unit-216/home/42020034,,,N,Y,26.1232195,-80.1275488
PAST SALE,,Condo/Co-op,1480 E Sample Rd #101,Pompano Beach,FL,33064,140000,2,1.0,,840,,1967,,167,,,,,https://www.redfin.com/FL/Pompano-Beach/1480-E-Sample-Rd-33064/unit-101/home/41494587,,,N,Y,26.275132,-80.103346
PAST SALE,,Condo/Co-op,4113 NW 88th Ave #103,Coral Springs,FL,33065,149000,2,2.0,,1085,,1974,,137,,,,,https://www.redfin.com/FL/Coral-Springs/4113-NW-88th-Ave-33065/unit-103/home/41418204,,,N,Y,26.2824712,-80.2423809
PAST SALE,October-3-2023,Condo/Co-op,7100 Radice Ct #604,Lauderhill,FL,33319,190000,2,2.0,Environ Towers,1384,,1982,,137,669,Sold,,,https://www.redfin.com/FL/Lauderhill/7100-Radice-Ct-33319/unit-604/home/41583561,Beaches MLS,F10397892,N,Y,26.1739449,-80.2466381
PAST SALE,,Condo/Co-op,101 NE 41st St Unit E72,Oakland Park,FL,33334,69000,2,1.0,,590,,1978,,117,,,,,https://www.redfin.com/FL/Oakland-Park/101-NE-41st-St-33334/unit-E72/home/42063049,,,N,Y,26.1784913,-80.1456115
PAST SALE,,Condo/Co-op,311 SE 3rd St #106,Dania,FL,33004,300000,2,2.0,,1190,,1981,,252,,,,,https://www.redfin.com/FL/Dania/311-SE-3rd-St-33004/unit-106/home/41921759,,,N,Y,26.0483138,-80.1383552
PAST SALE,,Condo/Co-op,3421 Merrick Ln #602,Margate,FL,33063,370000,3,3.0,,1536,,2004,,241,,,,,https://www.redfin.com/FL/Margate/3421-Merrick-Ln-33063/unit-602/home/42032594,,,N,Y,26.2693241,-80.2003833
PAST SALE,,Condo/Co-op,2002 Belmont Ln #2002,North Lauderdale,FL,33068,209000,1,1.0,,878,,2004,,238,,,,,https://www.redfin.com/FL/North-Lauderdale/2002-Belmont-Ln-33068/unit-2002/home/42017117,,,N,Y,26.204552,-80.232567
PAST SALE,,Condo/Co-op,141 SE 3rd Ave #207,Dania,FL,33004,220000,2,2.0,,1190,,1980,,185,,,,,https://www.redfin.com/FL/Dania/141-SE-3rd-Ave-33004/unit-207/home/41821221,,,N,Y,26.0491869,-80.1389009
PAST SALE,,Condo/Co-op,381 Tilford R,Deerfield Beach,FL,33442,105000,1,2.0,,708,,1978,,148,,,,,https://www.redfin.com/FL/Deerfield-Beach/381-Tilford-R-33442/home/41463417,,,N,Y,26.3110225,-80.1508413
PAST SALE,,Condo/Co-op,5601 Coral Lake Dr #101,Margate,FL,33063,162000,2,2.0,,1090,,1979,,149,,,,,https://www.redfin.com/FL/Margate/5601-Coral-Lake-Dr-33063/unit-101/home/41483003,,,N,Y,26.26498,-80.1973858
PAST SALE,,Condo/Co-op,3301 Spanish Moss Ter #306,Lauderhill,FL,33319,100000,2,2.0,,1105,,1971,,90,,,,,https://www.redfin.com/FL/Lauderhill/3301-Spanish-Moss-Ter-33319/unit-306/home/41586068,,,N,Y,26.1672668,-80.2344404
PAST SALE,,Condo/Co-op,12550 SW 15th St Unit 408E,Pembroke Pines,FL,33027,220000,2,2.0,,1207,,1995,,182,,,,,https://www.redfin.com/FL/Pembroke-Pines/12550-SW-15th-St-33027/unit-408E/home/41846395,,,N,Y,25.9946715,-80.3136207
PAST SALE,August-18-2023,Condo/Co-op,16135 Emerald Estates Dr #468,Weston,FL,33331,589000,2,2.5,THE PALMS,1529,,2005,,385,1233,Sold,,,https://www.redfin.com/FL/Weston/16135-Emerald-Estates-Dr-33331/unit-468/home/42063932,MARMLS,A11420362,N,Y,26.0674346,-80.3657186
PAST SALE,October-2-2023,Condo/Co-op,801 N Ocean Blvd #804,Pompano Beach,FL,33062,350000,2,2.0,Gabriel Towers Condo,933,,1977,,375,505,Sold,,,https://www.redfin.com/FL/Pompano-Beach/801-N-Ocean-Blvd-33062/unit-804/home/41527620,Beaches MLS,RX-10918363,N,Y,26.2450516,-80.0879183
PAST SALE,,Condo/Co-op,284 Ventnor S,Deerfield Beach,FL,33442,80000,1,2.0,,708,,1978,,113,,,,,https://www.redfin.com/FL/Deerfield-Beach/284-Ventnor-S-33442/home/41465745,,,N,Y,26.314333,-80.143489
PAST SALE,September-8-2023,Condo/Co-op,551 N Fort Lauderdale Beach Blvd Unit H907,Fort Lauderdale,FL,33304,450000,0,1.0,Ocean Resort,579,,2009,,777,1435,Sold,,,https://www.redfin.com/FL/Fort-Lauderdale/551-N-Beach-Blvd-33304/unit-H907/home/63058511,Beaches MLS,F10399201,N,Y,26.1308727,-80.1040339
PAST SALE,August-15-2023,Condo/Co-op,1461 S Ocean Blvd #329,Pompano Beach,FL,33062,382000,2,2.0,North Leisure Gardens,920,,1967,,415,592,Sold,,,https://www.redfin.com/FL/Pompano-Beach/1461-S-Ocean-Blvd-33062/unit-329/home/41695631,Beaches MLS,F10388902,N,Y,26.2133304,-80.0937796
PAST SALE,,Condo/Co-op,3070 NW 48th Ter #405,Lauderdale Lakes,FL,33313,110000,2,2.0,,960,,1979,,115,,,,,https://www.redfin.com/FL/Lauderdale-Lakes/3070-NW-48th-Ter-33313/unit-405/home/41597579,,,N,Y,26.1640419,-80.215052
PAST SALE,,Condo/Co-op,12276 Royal Palm Blvd Unit A-7,Coral Springs,FL,33065,237000,2,2.0,,629,,1993,,377,,,,,https://www.redfin.com/FL/Coral-Springs/12276-Royal-Palm-Blvd-33065/unit-A-7/home/42021807,,,N,Y,26.258848,-80.2891759
PAST SALE,October-9-2023,Condo/Co-op,2681 N Flamingo Rd Unit 1206S,Sunrise,FL,33323,325000,2,2.0,TAO SAWGRASS CONDOMINIUM,1165,,2009,,279,1078,Sold,,,https://www.redfin.com/FL/Sunrise/2681-N-Flamingo-Rd-33323/unit-1206S/home/42077743,MARMLS,A11457140,N,Y,26.1575902,-80.3155497
PAST SALE,,Condo/Co-op,2100 S Ocean Ln #508,Fort Lauderdale,FL,33316,760000,2,2.0,,1823,,1969,,417,,,,,https://www.redfin.com/FL/Fort-Lauderdale/2100-S-Ocean-Ln-33316/unit-508/home/41805423,,,N,Y,26.0965298,-80.1068264
PAST SALE,,Condo/Co-op,4311 NW 16th St Unit B111,Lauderhill,FL,33313,55500,2,2.0,,867,,1968,,64,,,,,https://www.redfin.com/FL/Lauderhill/4311-NW-16th-St-33313/unit-B111/home/41631958,,,N,Y,26.147084,-80.208111
PAST SALE,,Condo/Co-op,10781 Cleary Blvd #103,Plantation,FL,33324,210000,2,1.0,,940,,1990,,223,,,,,https://www.redfin.com/FL/Plantation/10781-Cleary-Blvd-33324/unit-103/home/42020980,,,N,Y,26.1334409,-80.2921026
PAST SALE,,Condo/Co-op,4384 NW 9th Ave Unit 19-1D,Deerfield Beach,FL,33064,210000,2,2.0,,1040,,1987,,202,,,,,https://www.redfin.com/FL/Deerfield-Beach/4384-NW-9th-Ave-33064/unit-19-1D/home/41480484,,,N,Y,26.283701,-80.134083
PAST SALE,,Condo/Co-op,5200 N Ocean Blvd Unit 210B,Lauderdale By The Sea,FL,33308,475000,2,2.0,,1200,,1971,,396,,,,,https://www.redfin.com/FL/Lauderdale-by-the-Sea/5200-N-Ocean-Blvd-33308/unit-210B/home/41704464,,,N,Y,26.2010003,-80.0946293
PAST SALE,,Condo/Co-op,57 Deer Creek Rd Unit F105,Deerfield Beach,FL,33442,220000,1,1.0,,800,,1983,,275,,,,,https://www.redfin.com/FL/Deerfield-Beach/57-Deer-Creek-Rd-33442/unit-F105/home/41465189,,,N,Y,26.3183744,-80.1447056
PAST SALE,,Condo/Co-op,811 NE 14th Pl #8,Fort Lauderdale,FL,33304,178000,1,1.0,,540,,1969,,330,,,,,https://www.redfin.com/FL/Fort-Lauderdale/811-NE-14th-Pl-33304/unit-8/home/42073853,,,N,Y,26.1456957,-80.1352039
PAST SALE,October-27-2023,Condo/Co-op,3000 NE 16th Ave #313,Oakland Park,FL,33334,140000,1,1.0,River Shores,600,,1966,,233,372,Sold,,,https://www.redfin.com/FL/Oakland-Park/3000-NE-16th-Ave-33334/unit-313/home/41674957,Beaches MLS,F10400628,N,Y,26.1650757,-80.1252174
PAST SALE,,Condo/Co-op,3500 NW 48th Ave #614,Lauderdale Lakes,FL,33319,130000,2,2.0,,944,,1973,,138,,,,,https://www.redfin.com/FL/Lauderdale-Lakes/3500-NW-48th-Ave-33319/unit-614/home/41594514,,,N,Y,26.1714909,-80.2129813
PAST SALE,,Condo/Co-op,8810 W McNab Rd #103,Tamarac,FL,33321,85000,1,1.0,,730,,1977,,116,,,,,https://www.redfin.com/FL/Tamarac/8810-W-McNab-Rd-33321/unit-103/home/41561552,,,N,Y,26.207259,-80.268839
PAST SALE,,Condo/Co-op,2121 NE 42nd Ct Unit 103C,Lighthouse Point,FL,33064,160000,2,2.0,,960,,1965,,167,,,,,https://www.redfin.com/FL/Lighthouse-Point/2121-NE-42nd-Ct-33064/unit-103C/home/41515443,,,N,Y,26.2841978,-80.0945342
PAST SALE,September-29-2023,Condo/Co-op,2631 NE 14th Ave #304,Wilton Manors,FL,33334,375000,1,2.0,Wilton Station,1082,,2007,,347,779,Sold,,,https://www.redfin.com/FL/Wilton-Manors/2631-NE-14th-Ave-33334/unit-304/home/42054801,Beaches MLS,F10391513,N,Y,26.161008,-80.130465
PAST SALE,,Condo/Co-op,7175 Orange Dr Unit 209H,Davie,FL,33314,196000,2,2.0,,1080,,1974,,181,,,,,https://www.redfin.com/FL/Davie/7175-Orange-Dr-33314/unit-209H/home/41776038,,,N,Y,26.0667028,-80.2417504
PAST SALE,,Condo/Co-op,2631 NE 14th Ave #217,Wilton Manors,FL,33334,395000,1,2.0,,975,,2005,,405,,,,,https://www.redfin.com/FL/Wilton-Manors/2631-NE-14th-Ave-33334/unit-217/home/42058959,,,N,Y,26.161008,-80.130465
PAST SALE,,Condo/Co-op,3140 S Ocean Dr Ph 2,Hallandale Beach,FL,33009,360000,1,1.0,,836,,1979,,431,,,,,https://www.redfin.com/FL/Hallandale-Beach/3140-S-Ocean-Dr-33009/unit-2/home/41970142,,,N,Y,25.9763784,-80.1192168
PAST SALE,,Condo/Co-op,8510 Sunrise Lakes Blvd #108,Sunrise,FL,33322,110000,1,1.0,,640,,1974,,172,,,,,https://www.redfin.com/FL/Sunrise/8510-Sunrise-Lakes-Blvd-33322/unit-108/home/41609900,,,N,Y,26.1636727,-80.2662378
PAST SALE,October-6-2023,Condo/Co-op,1750 NE 39th Ct #807,Pompano Beach,FL,33064,314900,2,2.0,Lighthouse Condo,1250,,1984,,252,129,Sold,,,https://www.redfin.com/FL/Pompano-Beach/1750-NE-39th-Ct-33064/unit-807/home/41518817,Beaches MLS,F10403503,N,Y,26.2792976,-80.0995568
PAST SALE,,Condo/Co-op,209 N Fort Lauderdale Beach Blvd Unit 4G,Fort Lauderdale,FL,33304,350000,1,2.0,,730,,1981,,479,,,,,https://www.redfin.com/FL/Fort-Lauderdale/209-N-Fort-Lauderdale-Beach-Blvd-33304/unit-4G/home/41786308,,,N,Y,26.1256166,-80.1039903
PAST SALE,,Condo/Co-op,1701 Washington St #603,Hollywood,FL,33020,170000,1,2.0,,753,,1970,,226,,,,,https://www.redfin.com/FL/Hollywood/1701-Washington-St-33020/unit-603/home/41941092,,,N,Y,26.0044562,-80.1410842
PAST SALE,September-6-2023,Condo/Co-op,711 SW 111th Way #304,Pembroke Pines,FL,33025,230000,1,1.0,DEVONAIRE CONDO AT PEMBRO,742,,2002,,310,500,Sold,,,https://www.redfin.com/FL/Pembroke-Pines/711-SW-111th-Way-33025/unit-304/home/42065267,MARMLS,A11413629,N,Y,26.0018307,-80.2952372
PAST SALE,,Condo/Co-op,1828 Hammock Blvd #227,Coconut Creek,FL,33063,260000,2,2.0,,1238,,1985,,210,,,,,https://www.redfin.com/FL/Coconut-Creek/1828-Hammock-Blvd-33063/unit-227/home/41500162,,,N,Y,26.2504878,-80.190991
PAST SALE,September-11-2023,Condo/Co-op,2200 NE 66th St #1404,Fort Lauderdale,FL,33308,170000,2,2.0,Imperial Point Colonnades,1100,,1971,,155,520,Sold,,,https://www.redfin.com/FL/Fort-Lauderdale/2200-NE-66th-St-33308/unit-1404/home/41650392,Beaches MLS,F10384052,N,Y,26.2089618,-80.1117168
PAST SALE,,Condo/Co-op,3140 S Ocean Dr #1501,Hallandale Beach,FL,33009,275000,1,1.0,,920,,1979,,299,,,,,https://www.redfin.com/FL/Hallandale-Beach/3140-S-Ocean-Dr-33009/unit-1501/home/41971560,,,N,Y,25.9763784,-80.1192168
PAST SALE,October-5-2023,Condo/Co-op,505 E Dania Beach Blvd Unit 2L,Dania,FL,33004,230000,2,2.0,Danians South,1190,,1974,,193,475,Sold,,,https://www.redfin.com/FL/Dania-Beach/505-E-Dania-Beach-Blvd-33004/unit-2L/home/187740124,Beaches MLS,F10400283,N,Y,26.0540141,-80.1350513
PAST SALE,October-2-2023,Condo/Co-op,555 SE 8th St #251,Deerfield Beach,FL,33441,160000,1,1.5,Brookfield Gardens,925,,1973,,173,300,Sold,,,https://www.redfin.com/FL/Deerfield-Beach/555-SE-8th-St-33441/unit-251/home/41507606,Beaches MLS,F10398602,N,Y,26.3075675,-80.0959692
PAST SALE,,Condo/Co-op,10124 Twin Lakes Dr Unit 11-D,Coral Springs,FL,33071,180000,2,2.0,,768,,1981,,234,,,,,https://www.redfin.com/FL/Coral-Springs/10124-Twin-Lakes-Dr-33071/unit-11-D/home/41448911,,,N,Y,26.2417703,-80.2602206
PAST SALE,,Condo/Co-op,16100 Emerald Estates Dr #485,Weston,FL,33331,395000,2,3.0,,1280,,2005,,309,,,,,https://www.redfin.com/FL/Weston/16100-Emerald-Estates-Dr-33331/unit-485/home/42067453,,,N,Y,26.0677354,-80.365161
PAST SALE,,Condo/Co-op,1200 SW 52nd Ave Unit 210-1,North Lauderdale,FL,33068,58000,3,2.0,,1027,,1975,,56,,,,,https://www.redfin.com/FL/North-Lauderdale/1200-SW-52nd-Ave-33068/unit-210-1/home/42063415,,,N,Y,26.2125792,-80.2007708
PAST SALE,,Condo/Co-op,4055 W McNab Rd Unit H104,Pompano Beach,FL,33069,52500,1,1.0,,633,,1992,,83,,,,,https://www.redfin.com/FL/Pompano-Beach/4055-W-McNab-Rd-33069/unit-H104/home/42046499,,,N,Y,26.2100601,-80.1786382
PAST SALE,September-29-2023,Condo/Co-op,4400 NW 30th St #224,Coconut Creek,FL,33066,328000,3,2.0,Bayport Village,1392,,1992,,236,546,Sold,,,https://www.redfin.com/FL/Coconut-Creek/4400-NW-30th-St-33066/unit-224/home/41482463,Beaches MLS,F10396716,N,Y,26.2636222,-80.1853474
PAST SALE,October-15-2023,Condo/Co-op,10988 Royal Palm Blvd Unit 4-2,Coral Springs,FL,33065,219900,2,2.0,GRENADIER GARDENS,800,,1982,,275,360,Sold,,,https://www.redfin.com/FL/Coral-Springs/10988-Royal-Palm-Blvd-33065/unit-4-2/home/41425774,MARMLS,A11469767,N,Y,26.2585326,-80.2726884
PAST SALE,,Condo/Co-op,3101 Oakland Shores Dr Unit H206,Oakland Park,FL,33309,220000,2,2.0,,1050,,1974,,210,,,,,https://www.redfin.com/FL/Oakland-Park/3101-Oakland-Shores-Dr-33309/unit-H206/home/41662279,,,N,Y,26.166579,-80.1842372
PAST SALE,October-26-2023,Condo/Co-op,1263 SW 46th Ave #2109,Pompano Beach,FL,33069,275000,2,2.0,ROYAL POINCIANA CONDO,903,,1987,,305,321,Sold,,,https://www.redfin.com/FL/Pompano-Beach/1263-SW-46th-Ave-33069/unit-2109/home/42053193,MARMLS,A11474814,N,Y,26.2126628,-80.1888578
PAST SALE,,Condo/Co-op,3710 Inverrary Dr Unit 1H,Lauderhill,FL,33319,122500,2,2.0,,1150,,1973,,107,,,,,https://www.redfin.com/FL/Lauderhill/3710-Inverrary-Dr-33319/unit-1H/home/41590047,,,N,Y,26.1707811,-80.2276873
PAST SALE,,Condo/Co-op,157 Grantham E,Deerfield Beach,FL,33442,178000,2,2.0,,841,,1977,,212,,,,,https://www.redfin.com/FL/Deerfield-Beach/157-Grantham-E-33442/home/41461697,,,N,Y,26.308817,-80.135212
PAST SALE,October-3-2023,Condo/Co-op,777 Bayshore #1705,Fort Lauderdale,FL,33304,725000,2,2.5,Americas On The Park,1820,,1976,,398,1495,Sold,,,https://www.redfin.com/FL/Fort-Lauderdale/777-Bayshore-Dr-33304/unit-1705/home/41787284,Beaches MLS,F10398194,N,Y,26.1342436,-80.1078735
